Folder name,Folder color,Latitude,Longitude,Title,Description,Color,Phone number,Timestamp,Pin icon code
,71b300,50.81125139183411,4.382619279191858,Marker 149,,71b300,,2024-02-13T13:55:49Z,-1
,71b300,50.81097932743172,4.381667670092297,Marker 150,,71b300,,2024-02-13T13:55:53Z,-1
,71b300,50.81118830457858,4.381215265766297,Marker 151,,71b300,,2024-02-13T13:55:57Z,-1
,71b300,50.8113440510898,4.381670790122133,Marker 152,,f44336,,2024-02-13T13:56:02Z,-1
,71b300,50.81179945879558,4.384363375869338,Marker 153,,71b300,,2024-02-13T13:56:13Z,-1
,71b300,50.81433655348363,4.382761961172049,Marker 154,,71b300,,2024-02-13T16:31:45Z,-1
,71b300,50.814762145512255,4.383105858299383,Marker 155,,71b300,,2024-02-13T16:31:53Z,-1
,71b300,50.81495428916559,4.383444071176688,Marker 156,,71b300,,2024-02-13T16:31:57Z,-1
,71b300,50.81507999019354,4.383665756928244,Marker 157,,71b300,,2024-02-13T16:32:00Z,-1
,71b300,50.81376909142073,4.3841574445565366,Marker 158,,71b300,,2024-02-13T16:32:06Z,-1
,71b300,50.815845918994256,4.383013283263147,Marker 159,,71b300,,2024-02-13T16:32:12Z,-1
,71b300,50.815558606575784,4.382339699632994,Marker 160,,71b300,,2024-02-13T16:32:16Z,-1
,71b300,50.814599471855225,4.382385073716605,Marker 161,,f44336,,2024-02-13T16:39:35Z,-1
,71b300,50.81498049699764,4.382095289054378,Marker 162,,f44336,,2024-02-13T16:39:44Z,-1
,71b300,50.81188968086354,4.3842954011824995,Marker 163,,f44336,,2024-02-13T16:50:42Z,-1
,71b300,50.81186348559529,4.384433590601607,Marker 164,,f44336,,2024-02-13T16:50:51Z,-1
,71b300,50.811357794325225,4.382274570817254,Marker 165,,f44336,,2024-02-13T16:52:35Z,-1
,71b300,50.81148314619761,4.382148957399107,Marker 166,,f44336,,2024-02-13T16:52:44Z,-1
,71b300,50.8154781760519,4.3832113700088335,Marker 167,,f44336,,2024-02-13T17:05:24Z,-1
,71b300,50.815524240782295,4.3826716538513075,Marker 168,,f44336,,2024-02-13T17:06:05Z,-1
,71b300,50.81274063221744,4.383217401302898,Marker 169,,f44336,,2024-02-13T17:16:27Z,-1
,71b300,50.813009572460466,4.383679155484309,Marker 170,,f44336,,2024-02-13T17:17:13Z,-1
,71b300,50.813670556367256,4.38240584195973,Marker 171,,f44336,,2024-02-13T17:17:33Z,-1
,71b300,50.812100735627496,4.385224744946403,Marker 172,,71b300,,2024-02-21T14:44:26Z,-1
,71b300,50.81375278760668,4.383762422040319,Marker 173,,f44336,,2024-02-21T14:47:39Z,-1
